date,return
2004-01-02,0.0
2004-01-05,0.004967
2004-01-06,-0.001348
2004-01-07,0.006228
2004-01-08,0.014367
2004-01-09,-0.002201
2004-01-12,-0.002336
2004-01-13,0.015444
2004-01-14,0.007378
2004-01-15,-0.004817
2004-01-16,0.005514
2004-01-19,-0.004696
2004-01-20,-0.004643
2004-01-21,0.002409
2004-01-22,-0.019015
2004-01-23,-0.016756
2004-01-26,-0.007248
2004-01-27,-0.014684
2004-01-28,0.004441
2004-01-29,-0.013621
2004-01-30,-0.020104
2004-02-02,0.021799
2004-02-03,-0.003797
2004-02-04,0.001137
2004-02-05,-0.022716
2004-02-06,-0.008187
2004-02-09,0.001955
2004-02-10,-0.019536
2004-02-11,0.006001
2004-02-12,-0.010524
2004-02-13,-0.004824
2004-02-16,-0.009808
2004-02-17,0.02874
2004-02-18,-0.000207
2004-02-19,-0.017297
2004-02-20,0.012672
2004-02-23,-0.020229
2004-02-24,0.003333
2004-02-25,-0.034634
2004-02-26,-0.022077
2004-02-27,0.004388
2004-03-01,0.017074
2004-03-02,0.003698
2004-03-03,-0.002388
2004-03-04,-0.005818
2004-03-05,-0.026798
2004-03-08,-0.012392
2004-03-09,-0.009358
2004-03-10,0.020957
2004-03-11,0.006542
2004-03-12,-0.032929
2004-03-15,0.005702
2004-03-16,-0.008617
2004-03-17,-0.014166
2004-03-18,0.012201
2004-03-19,0.020369
2004-03-22,0.017477
2004-03-23,-0.015438
2004-03-24,-0.005523
2004-03-25,0.006029
2004-03-26,0.016839
2004-03-29,-0.007812
2004-03-30,-0.002969
2004-03-31,-0.017147
2004-04-01,-0.017582
2004-04-02,0.012985
2004-04-05,0.023175
2004-04-06,-0.001183
2004-04-07,0.016705
2004-04-08,0.00567
2004-04-09,-0.009963
2004-04-12,0.005299
2004-04-13,0.022476
2004-04-14,-0.000498
2004-04-15,0.022665
2004-04-16,-0.035959
2004-04-19,0.0118
2004-04-20,0.00186
2004-04-21,-0.006039
2004-04-22,0.001734
2004-04-23,-0.035617
2004-04-26,-0.003697
2004-04-27,0.008121
2004-04-28,0.031434
2004-04-29,-0.010354
2004-04-30,-0.016539
2004-05-03,-0.009886
2004-05-04,0.018249
2004-05-05,0.006309
2004-05-06,-0.00986
2004-05-07,0.008996
2004-05-10,0.001658
2004-05-11,0.015723
2004-05-12,-0.010743
2004-05-13,-0.004929
2004-05-14,-0.005903
2004-05-17,-0.021093
2004-05-18,0.004123
2004-05-19,0.004276
2004-05-20,7.9e-05
2004-05-21,-0.003436
2004-05-24,-0.019633
2004-05-25,-0.005581
2004-05-26,-0.005316
2004-05-27,-0.011927
